Hora;Dir.Vie;Vel.Vie;HumRel;Temp;Precip;IHCFM;IHCMM;IHCGM;IHCLV;IHCHV;P.precip;Rafag
0;75;8;46;12;0;9;11;13;80;70;1;8
1;83;7;48;11;0;10;12;14;80;70;1;7
2;90;7;51;10;0;10;12;14;80;70;1;7
3;90;7;52;10;0;10;12;14;80;70;1;7
4;90;6;52;9;0;11;13;15;80;70;1;6
5;90;6;53;9;0;11;13;15;80;70;1;6
6;113;5;51;9;0;10;12;14;80;70;1;5
7;135;5;48;8;0;10;12;14;80;70;1;5
8;158;4;46;8;0;9;11;13;80;70;1;4
9;195;5;42;11;0;8;10;12;80;70;1;5
10;233;7;39;14;0;7;9;11;80;70;1;7
11;270;8;36;17;0;6;8;10;80;70;1;8
12;270;9;33;20;0;6;8;10;80;70;1;9
13;270;10;31;22;0;5;7;9;80;70;1;10
14;270;11;28;25;0;4;6;8;80;70;1;11
15;278;11;27;25;0;4;6;8;80;70;1;11
16;285;11;25;24;0;3;5;7;80;70;1;11
17;293;11;23;24;0;3;5;7;80;70;1;11
18;308;9;28;23;0;4;6;8;80;70;1;9
19;323;8;32;22;0;5;7;9;80;70;1;8
20;338;6;37;21;0;6;8;10;80;70;1;6
21;255;6;40;19;0;7;9;11;80;70;1;6
22;173;7;43;16;0;8;10;12;80;70;1;7
23;90;7;47;14;0;9;11;13;80;70;1;7
